,image_9916,image_4360,image_6683,image_5221,image_4009,image_9629,image_5473,image_4580,image_3327,image_2187,image_5463,image_6158,image_9795,image_9080
image_9916,4,0,0,0,0,0,0,0,0,0,0,0,0,0
image_4360,0,4,0,0,0,0,3,0,0,0,0,0,0,0
image_6683,0,0,4,0,0,0,0,0,0,0,0,0,0,0
image_5221,0,0,0,4,0,0,0,0,0,0,0,0,0,0
image_4009,0,0,0,0,4,0,2,0,0,0,0,0,4,0
image_9629,0,0,0,0,0,4,0,0,0,0,0,0,0,0
image_5473,0,0,0,0,0,0,4,0,2,0,0,0,0,0
image_4580,0,0,0,0,0,0,0,4,0,0,0,0,0,0
image_3327,0,0,0,0,0,0,0,0,4,0,0,0,0,0
image_2187,0,0,0,0,0,0,0,0,0,4,0,0,0,1
image_5463,0,0,0,0,0,0,0,0,0,0,4,0,0,0
image_6158,0,0,0,0,0,0,0,0,0,0,0,4,0,0
image_9795,0,0,0,0,0,0,0,0,0,0,0,0,4,0
image_9080,0,0,0,0,0,0,0,0,0,0,0,0,0,4
